[10318, 3788.0]	"didnt"
[10318, 459.0]	"cook"
[10318, 688.0]	"completely"
[10319, 147.0]	"handle"
[10319, 182.0]	"promptly"
[10319, 259.0]	"figure"
[10319, 291.0]	"realized"
[10319, 438.0]	"obviously"
[10320, 109.0]	"non"
[10320, 192.0]	"register"
[10320, 202.0]	"effort"
[10320, 205.0]	"grease"
[10320, 218.0]	"par"
[10320, 2402.0]	"another"
[10320, 247.0]	"lacking"
[10320, 253.0]	"experienced"
[10320, 263.0]	"raw"
[10320, 311.0]	"primanti"
[10320, 394.0]	"total"
[10320, 568.0]	"hate"
[10320, 837.0]	"stay"
[10321, 135.0]	"beware"
[10321, 164.0]	"health"
[10321, 193.0]	"further"
[10321, 193.0]	"passed"
[10321, 206.0]	"hotels"
[10321, 212.0]	"hype"
[10321, 2144.0]	"nothing"
[10321, 228.0]	"round"
[10321, 244.0]	"pulled"
[10321, 289.0]	"negative"
[10321, 296.0]	"brown"
[10321, 321.0]	"complain"
[10321, 338.0]	"plain"
[10321, 389.0]	"running"
[10321, 412.0]	"except"
[10322, 1603.0]	"hour"
[10322, 184.0]	"westin"
[10322, 197.0]	"members"
[10322, 219.0]	"plastic"
[10322, 2314.0]	"took"
[10322, 271.0]	"break"
[10322, 358.0]	"checked"
[10322, 3933.0]	"ordered"
[10322, 416.0]	"salt"
[10322, 455.0]	"issue"
[10322, 539.0]	"saying"
[10323, 123.0]	"currently"
[10323, 123.0]	"reviewer"
[10323, 1480.0]	"put"
[10323, 149.0]	"lazy"
[10323, 152.0]	"constantly"
[10323, 165.0]	"directly"
[10323, 207.0]	"prior"
[10323, 207.0]	"seasoning"
[10323, 217.0]	"question"
[10323, 236.0]	"explain"
[10323, 288.0]	"story"
[10323, 382.0]	"perhaps"
[10323, 414.0]	"none"
[10323, 598.0]	"giving"
[10323, 947.0]	"call"
[10324, 107.0]	"fortunately"
[10324, 120.0]	"entirely"
[10324, 1524.0]	"least"
[10324, 250.0]	"product"
[10324, 263.0]	"tough"
[10324, 276.0]	"doubt"
[10324, 3394.0]	"then"
[10324, 347.0]	"using"
[10324, 444.0]	"noticed"
[10325, 101.0]	"asks"
[10325, 114.0]	"squirrel"
[10325, 1169.0]	"either"
[10325, 117.0]	"chatting"
[10325, 127.0]	"philly"
[10325, 130.0]	"common"
[10325, 156.0]	"traffic"
[10325, 169.0]	"reminded"
[10325, 176.0]	"gym"
[10325, 179.0]	"minimum"
[10325, 1805.0]	"decent"
[10325, 202.0]	"cars"
[10325, 205.0]	"spaghetti"
[10325, 251.0]	"arrive"
[10325, 257.0]	"heres"
[10325, 264.0]	"website"
[10325, 332.0]	"hell"
[10325, 420.0]	"youd"
[10325, 5797.0]	"no"
[10325, 951.0]	"walked"
[10325, 979.0]	"pm"
[10326, 111.0]	"coat"
[10326, 1297.0]	"seemed"
[10326, 134.0]	"brothers"
[10326, 150.0]	"standards"
[10326, 160.0]	"clientele"
[10326, 160.0]	"host"
[10326, 235.0]	"against"
[10326, 235.0]	"girls"
